record_key,mouse_record,sex_group,version,annotator_a,annotator_b,n_frames_compared,accuracy,balanced_accuracy,macro_f1,cohen_kappa,mcc,ari,nmi
Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v2,annotator1,annotator8,24292,0.9378807837971349,0.8965853663186999,0.9085736785866122,0.8724433384928822,0.8733593967015787,0.838589677788836,0.7196957126424836
Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v2,annotator2,annotator3,24292,0.9445084801580768,0.9036320883201627,0.9242233437811033,0.8883555954918343,0.8899365194053228,0.845913782488791,0.7537800441387074
Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v2,annotator2,annotator4,24292,0.9461139469784291,0.9032836864226615,0.9282385803670025,0.8904159749162939,0.8937960587799628,0.8389279914161827,0.7560926430684776
Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v2,annotator2,annotator5,24292,0.946360941873868,0.9179298804027991,0.9307486148684226,0.8932898902642329,0.8938570653648582,0.846214289379041,0.7533181679053836
Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v2,annotator2,annotator6,24292,0.9395685822493002,0.9075547148162975,0.9157582234747427,0.8817295074445975,0.882560522867621,0.8437828305157856,0.7450006566006825
Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v2,annotator2,annotator7,24292,0.9357401613699984,0.8913349635642785,0.9101574451907578,0.870608928694933,0.872339010116514,0.8289135052509808,0.7232503704494287
Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v2,annotator2,annotator8,24292,0.9141692738350075,0.8597009417265046,0.8801307483964479,0.8264490170819881,0.8285981274990979,0.7737152073023776,0.6583709400975377
Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v2,annotator3,annotator4,24292,0.9540589494483781,0.9345355994249531,0.9390040427877012,0.9034094357035014,0.903886741082397,0.8591131122614841,0.764440620678702
Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v2,annotator3,annotator5,24292,0.9637740820023053,0.9622799781359861,0.9524296247980025,0.9257081936943408,0.9259754652367927,0.8908462674128622,0.8075053296549722
Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v2,annotator3,annotator6,24292,0.9504363576486086,0.9507649822002353,0.936957618847497,0.9002314604269583,0.9028037179404457,0.8534182648213158,0.776332860792253
Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v2,annotator3,annotator7,24292,0.944796640869422,0.9304847533151882,0.928781396742683,0.8852333016804763,0.8852807578180169,0.8320906016369887,0.729660653267643
